Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Cleaned_3OPR_338_mmff94_E=18.45,-5.4,0,0
Cleaned_3OPR_338_mmff94_E=18.45,-5.1,3.872,2.808
Cleaned_3OPR_338_mmff94_E=18.45,-5,3.723,2.218
Cleaned_3OPR_338_mmff94_E=18.45,-4.9,2.126,1.135
Cleaned_3OPR_338_mmff94_E=18.45,-4.9,2.646,1.846
Cleaned_3OPR_338_mmff94_E=18.45,-4.8,3.403,2.131
Cleaned_3OPR_338_mmff94_E=18.45,-4.6,9.332,7.97
Cleaned_3OPR_338_mmff94_E=18.45,-4.5,10.372,8.875
Cleaned_3OPR_338_mmff94_E=18.45,-4.5,2.78,1.822
Cleaned_3OPR_2353_mmff94_E=104.95,-6.4,0,0
Cleaned_3OPR_2353_mmff94_E=104.95,-6.3,8.506,1.808
Cleaned_3OPR_2353_mmff94_E=104.95,-6.3,8.13,1.226
Cleaned_3OPR_2353_mmff94_E=104.95,-6.2,8.381,2.432
Cleaned_3OPR_2353_mmff94_E=104.95,-6.2,4.859,2.605
Cleaned_3OPR_2353_mmff94_E=104.95,-6.1,2.742,1.734
Cleaned_3OPR_2353_mmff94_E=104.95,-5.9,2.946,2.084
Cleaned_3OPR_2353_mmff94_E=104.95,-5.7,7.644,1.187
Cleaned_3OPR_2353_mmff94_E=104.95,-5.7,5.093,3.355
Cleaned_3OPR_2520_mmff94_E=141.16,-6.6,0,0
Cleaned_3OPR_2520_mmff94_E=141.16,-6.6,9.508,2.202
Cleaned_3OPR_2520_mmff94_E=141.16,-6.4,9.867,2.108
Cleaned_3OPR_2520_mmff94_E=141.16,-6.2,3.596,2.188
Cleaned_3OPR_2520_mmff94_E=141.16,-6.2,11.895,4.446
Cleaned_3OPR_2520_mmff94_E=141.16,-6.1,3.929,2.794
Cleaned_3OPR_2520_mmff94_E=141.16,-6.1,3.866,2.466
Cleaned_3OPR_2520_mmff94_E=141.16,-6,4.702,3.223
Cleaned_3OPR_2520_mmff94_E=141.16,-6,4.255,2.447
Cleaned_3OPR_4594_mmff94_E=55.64,-6.9,0,0
Cleaned_3OPR_4594_mmff94_E=55.64,-6.9,8.632,1.511
Cleaned_3OPR_4594_mmff94_E=55.64,-6.7,2.564,1.965
Cleaned_3OPR_4594_mmff94_E=55.64,-6.6,8.273,2.343
Cleaned_3OPR_4594_mmff94_E=55.64,-6.5,8.611,1.88
Cleaned_3OPR_4594_mmff94_E=55.64,-6.4,2.569,1.72
Cleaned_3OPR_4594_mmff94_E=55.64,-6.4,8.824,2.147
Cleaned_3OPR_4594_mmff94_E=55.64,-6.3,2.165,1.583
Cleaned_3OPR_4594_mmff94_E=55.64,-6.2,2.096,1.282
Cleaned_3OPR_12035_mmff94_E=-7.61,-4.5,0,0
Cleaned_3OPR_12035_mmff94_E=-7.61,-4.5,3.98,2.116
Cleaned_3OPR_12035_mmff94_E=-7.61,-4.4,1.683,1.683
Cleaned_3OPR_12035_mmff94_E=-7.61,-4.4,4.108,2.209
Cleaned_3OPR_12035_mmff94_E=-7.61,-4.2,4.314,3.186
Cleaned_3OPR_12035_mmff94_E=-7.61,-3.9,4.102,2.679
Cleaned_3OPR_12035_mmff94_E=-7.61,-3.9,7.636,6.174
Cleaned_3OPR_12035_mmff94_E=-7.61,-3.8,10.108,9.312
Cleaned_3OPR_12035_mmff94_E=-7.61,-3.6,4.554,2.762
Cleaned_3OPR_5479530_mmff94_E=105.35,-7.4,0,0
Cleaned_3OPR_5479530_mmff94_E=105.35,-7.2,9.901,2.261
Cleaned_3OPR_5479530_mmff94_E=105.35,-7,1.364,0.833
Cleaned_3OPR_5479530_mmff94_E=105.35,-6.6,11.376,4.747
Cleaned_3OPR_5479530_mmff94_E=105.35,-6.6,9.912,2.981
Cleaned_3OPR_5479530_mmff94_E=105.35,-6.6,2.544,1.802
Cleaned_3OPR_5479530_mmff94_E=105.35,-6.5,9.401,3.561
Cleaned_3OPR_5479530_mmff94_E=105.35,-6.5,10.238,2.532
Cleaned_3OPR_5479530_mmff94_E=105.35,-6.5,3.319,2.755
